ip.src,ip.dst,tcp.srcport,tcp.dstport,dicom.pdu.type,dicom.pdu.len,dicom.assoc.version,dicom.assoc.ae.called,dicom.assoc.ae.calling,dicom.assoc.reject.result,dicom.assoc.reject.source,dicom.assoc.reject.reason,dicom.assoc.abort.source,dicom.assoc.abort.reason,dicom.assoc.item.type,dicom.assoc.item.len,dicom.actx,dicom.pctx.id,dicom.pctx.result,dicom.pctx.abss.syntax,dicom.pctx.xfer.syntax,dicom.userinfo.uid,dicom.userinfo.version,dicom.userinfo.extneg.sopclassuid,dicom.userinfo.extneg.relational,dicom.userinfo.extneg.datetimematching,dicom.userinfo.extneg.fuzzymatching,dicom.userinfo.extneg.timezone,dicom.userinfo.rolesel.sopclassuid,dicom.userinfo.rolesel.scurole,dicom.userinfo.rolesel.scprole,dicom.userinfo.asyncneg.maxnumopsinv,dicom.userinfo.asyncneg.maxnumopsper,dicom.userinfo.user_identify.type,dicom.userinfo.user_identify.response_requested,dicom.userinfo.user_identify.primary_field,dicom.userinfo.user_identify.secondary_field,dicom.max_pdu_len,dicom.pdv.len,dicom.pdv.ctx,dicom.pdv.flags,dicom.tag,dicom.tag.vr,dicom.tag.vl,dicom.tag.value.str
"192.168.126.124","192.168.126.104","4242","56204","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56214","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56214","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56226","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56226","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.124","192.168.126.104","4242","56226","0x07","4",,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.126.104","192.168.126.124","56228","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56228","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56228","4242","0x04","16384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16380","3","0x00",,,,
"192.168.126.124","192.168.126.104","4242","56228","0x07","4",,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192.168.126.104","192.168.126.124","56234","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56234","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56244","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56244","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56248","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56248","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56256","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56256","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56268","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56268","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56278","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56278","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56294","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56294","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56308","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56308","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56314","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56314","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56322","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56322","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56326","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56326","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56332","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56332","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56346","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56346","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","56352","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","56352","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47828","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","47828","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47834","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","47834","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47846","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","47846","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47852","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","47852","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47854","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","47854","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","47866","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
